H   1.0  4.5  4.6  5.0  1.5  4.5  4.2  0.0  0.0  3.50  3.98  4.0
H   0.5  0.0  5.0  0.3  3.0  1.1  0.0  0.0  0.0  3.40  1.98  2.0
M   0.0  4.8  4.6  5.0  1.5  2.0  4.2  1.5  0.0  2.35  3.55  3.5
H   0.5  4.5  5.0  5.0  3.8  3.6  1.2  0.0  0.0  2.60  3.57  3.6
H   0.5  4.3  5.0  5.0  1.5  4.8  4.5  3.3  0.0  2.00  3.90  3.9
M   0.5  4.8  5.0  1.2  3.8  5.0  5.0  0.0  0.0  3.75  4.12  4.1
M   1.0  4.8  5.0  5.0  3.8  5.0  5.0  3.3  2.9  3.45  5.05  5.0
H   0.5  4.0  5.0  0.0  1.5  3.3  4.2  3.4  1.5  0.80  2.95  3.0
H   1.5  5.0  4.7  5.0  4.2  5.0  5.0  5.0  3.3  4.55  5.66  5.0
H   1.0  3.8  5.0  0.3  1.5  4.5  3.3  3.3  1.5  1.95  3.34  3.3
H   0.5  5.0  5.0  5.0  1.5  3.2  4.3  1.5  1.5  2.20  3.89  3.9
H   0.5  4.5  5.0  5.0  4.2  4.3  4.3  5.0  4.2  2.20  4.79  4.8
H   0.0  4.3  5.0  0.3  3.8  4.0  4.3  0.8  1.5  3.10  3.76  3.8
H   1.0  4.7  5.0  5.0  1.5  3.0  4.5  5.0  1.5  2.60  4.32  4.3
H   0.5  4.8  5.0  4.4  3.8  4.6  4.3  1.5  3.3  3.55  4.74  4.7
H   2.0  5.0  5.0  3.7  5.0  4.9  5.0  5.0  5.0  5.75  6.18  5.0
M   0.5  4.8  5.0  4.6  1.5  4.8  4.2  2.3  1.5  3.45  4.41  4.4
H   2.5  4.8  5.0  0.3  3.8  4.0  5.0  1.5  5.0  3.10  4.48  4.5
H   0.5  4.8  5.0  5.0  3.8  3.8  4.5  5.0  3.4  4.40  5.36  5.0
H   0.5  4.8  1.5  5.0  3.4  5.0  4.5  1.5  3.3  4.05  4.62  4.6
H   1.0  4.8  5.0  5.0  1.5  4.0  4.2  3.3  5.0  3.30  4.80  4.8
M   0.5  4.5  5.0  1.5  1.5  0.0  4.5  1.5  1.5  3.70  3.59  3.6
H   0.5  4.7  5.0  0.3  3.4  4.0  4.5  5.0  0.0  2.75  4.00  4.0
H   0.5  4.8  5.0  4.4  1.8  5.0  3.6  0.8  0.8  1.40  3.54  3.5
